id,ride_id,timestamp,rpm,speed_kph,torque_nm,voltage_out,power_band,temp_c,humidity_pct,fluid_loss_l,sweat_rate_l_hr,skin_temp_c,battery_voltage_v,motor_current_a,motor_power_w,ml_sweat_probability,sweat_reduction_active
7832,RIDE_20260330_131830,2026-03-30 13:20:56.408203+00,63.7,24.5,79.8,2.5,LOW,16.42,39.39,0.0,,26.0,,,,0,false
7833,RIDE_20260330_131830,2026-03-30 13:20:57.411539+00,68.3,25.4,85.9,1.0,LOW,16.42,39.39,0.0,,26.0,,,,0,false
7834,RIDE_20260330_131830,2026-03-30 13:20:58.416757+00,69.2,25.4,70.2,1.0,LOW,16.42,39.39,0.0,,26.0,,,,0,false
7835,RIDE_20260330_131830,2026-03-30 13:20:59.418733+00,67.9,25.3,60.6,1.0,LOW,16.42,39.39,0.0,,26.0,,,,0,false
7836,RIDE_20260330_131830,2026-03-30 13:21:00.473669+00,68.3,25.3,48.9,1.0,LOW,16.23,39.04,0.0,,26.0,,,,0,false
7837,RIDE_20260330_131830,2026-03-30 13:21:01.475793+00,80.8,25.6,39.5,1.0,LOW,16.23,39.04,0.0,,26.0,,,,0,false
7838,RIDE_20260330_131830,2026-03-30 13:21:02.477283+00,0.0,25.6,50.3,1.0,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7839,RIDE_20260330_131830,2026-03-30 13:21:03.479692+00,9.5,22.9,40.9,1.0,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7840,RIDE_20260330_131830,2026-03-30 13:21:04.480917+00,66.6,22.7,33.2,2.01,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7841,RIDE_20260330_131830,2026-03-30 13:21:05.483349+00,70.9,23.5,80.4,2.5,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7842,RIDE_20260330_131830,2026-03-30 13:21:06.48483+00,72.3,23.8,70.6,2.5,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7843,RIDE_20260330_131830,2026-03-30 13:21:07.487681+00,72.7,24.2,56.2,2.43,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7844,RIDE_20260330_131830,2026-03-30 13:21:08.489558+00,77.0,24.7,51.0,2.34,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7845,RIDE_20260330_131830,2026-03-30 13:21:09.491313+00,73.8,25.1,41.2,1.0,LOW,16.23,39.04,0.0,,25.0,,,,0,false
7846,RIDE_20260330_131830,2026-03-30 13:21:10.539089+00,75.8,25.1,43.6,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7847,RIDE_20260330_131830,2026-03-30 13:21:11.541174+00,73.9,25.0,46.1,2.25,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7848,RIDE_20260330_131830,2026-03-30 13:21:12.542816+00,74.7,25.1,42.0,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7849,RIDE_20260330_131830,2026-03-30 13:21:13.544585+00,77.1,25.4,52.8,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7850,RIDE_20260330_131830,2026-03-30 13:21:14.550696+00,77.2,25.7,42.9,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7851,RIDE_20260330_131830,2026-03-30 13:21:15.55599+00,83.0,26.2,43.2,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7852,RIDE_20260330_131830,2026-03-30 13:21:16.558553+00,78.8,26.5,50.6,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7853,RIDE_20260330_131830,2026-03-30 13:21:17.56889+00,80.1,26.9,58.5,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7854,RIDE_20260330_131830,2026-03-30 13:21:18.57557+00,70.8,26.6,47.7,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7855,RIDE_20260330_131830,2026-03-30 13:21:19.577363+00,72.2,26.8,46.1,1.0,LOW,16.85,38.93,0.0,,25.0,,,,0,false
7856,RIDE_20260330_131830,2026-03-30 13:21:20.627116+00,68.9,26.2,43.9,1.0,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7857,RIDE_20260330_131830,2026-03-30 13:21:21.629209+00,68.6,25.5,37.7,1.0,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7858,RIDE_20260330_131830,2026-03-30 13:21:22.636348+00,67.8,24.9,40.2,2.14,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7859,RIDE_20260330_131830,2026-03-30 13:21:23.6387+00,65.8,24.8,41.4,2.16,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7860,RIDE_20260330_131830,2026-03-30 13:21:24.642421+00,64.4,24.6,34.9,2.04,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7861,RIDE_20260330_131830,2026-03-30 13:21:25.642472+00,67.0,24.3,39.6,2.13,LOW,17.87,38.51,0.0,,25.0,,,,0,false
7862,RIDE_20260330_131830,2026-03-30 13:21:26.643704+00,64.7,24.5,39.4,2.12,LOW,17.87,38.51,0.0,,25.0,,,,0,false
